OA * OA ; OOOA

OA * OB ; OOOB

OA * OC ; OOOC

OA * OD ; OOOD

OA * OE ; OOOE

OA * OS ; OOOS

OA * OG ; OOOG

OA * OH ; OOOH

OA * ON ; OOON

OA * AO ; OOAO

OA * AA ; OOAA

OA * AB ; OOAB

OA * AC ; OOAC

OA * AD ; OOAD

OA * AE ; OOAE

OA * AS ; OOAS

OA * AG ; OOAG

OA * AH ; OOAH

OA * AN ; OOAN

OA * BO ; OOBO

OA * BA ; OOBA

OA * BB ; OOBB

OA * BC ; OOBC

OA * BD ; OOBD

OA * BE ; OOBE

OA * BS ; OOBS

OA * BG ; OOBG

OA * BH ; OOBH

OA * BN ; OOBN

OA * CO ; OOCO

OA * CA ; OOCA

OA * CB ; OOCB

OA * CC ; OOCC

OA * CD ; OOCD

OA * CE ; OOCE

OA * CS ; OOCS

OA * CG ; OOCG

OA * CH ; OOCH

OA * CN ; OOCN

OA * DO ; OODO

OA * DA ; OODA

OA * DB ; OODB

OA * DC ; OODC

OA * DD ; OODD

OA * DE ; OODE

OA * DS ; OODS

OA * DG ; OODG

OA * DH ; OODH

OA * DN ; OODN

OA * EO ; OOEO

OA * EA ; OOEA

OA * EB ; OOEB

OA * EC ; OOEC

OA * ED ; OOED

OA * EE ; OOEE

OA * ES ; OOES

OA * EG ; OOEG

OA * EH ; OOEH

OA * EN ; OOEN

OA * SO ; OOSO

OA * SA ; OOSA

OA * SB ; OOSB

OA * SC ; OOSC

OA * SD ; OOSD

OA * SE ; OOSE

OA * SS ; OOSS

OA * SG ; OOSG

OA * SH ; OOSH

OA * SN ; OOSN

OA * GO ; OOGO

OA * GA ; OOGA

OA * GB ; OOGB

OA * GC ; OOGC

OA * GD ; OOGD

OA * GE ; OOGE

OA * GS ; OOGS

OA * GG ; OOGG

OA * GH ; OOGH

OA * GN ; OOGN

OA * HO ; OOHO

OA * HA ; OOHA

OA * HB ; OOHB

OA * HC ; OOHC

OA * HD ; OOHD

OA * HE ; OOHE

OA * HS ; OOHS

OA * HG ; OOHG

OA * HH ; OOHH

OA * HN ; OOHN

OA * NO ; OONO

OA * NA ; OONA

OA * NB ; OONB

OA * NC ; OONC

OA * ND ; OOND

OA * NE ; OONE

OA * NS ; OONS

OA * NG ; OONG

OA * NH ; OONH

OB * OA ; OOOB

OB * OB ; OOOD

OB * OC ; OOOS

OB * OD ; OOOH

OB * OE ; OOAO

OB * OS ; OOAB

OB * OG ; OOAD

OB * OH ; OOAS

OB * ON ; OOAH

OB * AO ; OOBO

OB * AA ; OOBB

OB * AB ; OOBD

OB * AC ; OOBS

OB * AD ; OOBH

OB * AE ; OOCO

OB * AS ; OOCB

OB * AG ; OOCD

OB * AH ; OOCS

OB * AN ; OOCH

OB * BO ; OODO

OB * BA ; OODB

OB * BB ; OODD

OB * BC ; OODS

OB * BD ; OODH

OB * BE ; OOEO

OB * BS ; OOEB

OB * BG ; OOED

OB * BH ; OOES

OB * BN ; OOEH

OB * CO ; OOSO

OB * CA ; OOSB

OB * CB ; OOSD

OB * CC ; OOSS

OB * CD ; OOSH

OB * CE ; OOGO

OB * CS ; OOGB

OB * CG ; OOGD

OB * CH ; OOGS

OB * CN ; OOGH

OB * DO ; OOHO

OB * DA ; OOHB

OB * DB ; OOHD

OB * DC ; OOHS

OB * DD ; OOHH

OB * DE ; OONO

OB * DS ; OONB

OB * DG ; OOND

OB * DH ; OONS

OB * DN ; OONH

OB * EO ; OAOO

OB * EA ; OAOB

OB * EB ; OAOD

OB * EC ; OAOS

OB * ED ; OAOH

OB * EE ; OAAO

OB * ES ; OAAB

OB * EG ; OAAD

OB * EH ; OAAS

OB * EN ; OAAH

OB * SO ; OABO

OB * SA ; OABB

OB * SB ; OABD

OB * SC ; OABS

OB * SD ; OABH

OB * SE ; OACO

OB * SS ; OACB

OB * SG ; OACD

OB * SH ; OACS

OB * SN ; OACH

OB * GO ; OADO

OB * GA ; OADB

OB * GB ; OADD

OB * GC ; OADS

OB * GD ; OADH

OB * GE ; OAEO

OB * GS ; OAEB

OB * GG ; OAED

OB * GH ; OAES

OB * GN ; OAEH

OB * HO ; OASO

OB * HA ; OASB

OB * HB ; OASD

OB * HC ; OASS

OB * HD ; OASH

OB * HE ; OAGO

OB * HS ; OAGB

OB * HG ; OAGD

OB * HH ; OAGS

OB * HN ; OAGH

OB * NO ; OAHO

OB * NA ; OAHB

OB * NB ; OAHD

OB * NC ; OAHS

OB * ND ; OAHH

OB * NE ; OANO

OB * NS ; OANB

OB * NG ; OAND

OB * NH ; OANS

OC * OA ; OOOC

OC * OB ; OOOS

OC * OC ; OOON

OC * OD ; OOAB

OC * OE ; OOAE

OC * OS ; OOAH

OC * OG ; OOBA

OC * OH ; OOBD

OC * ON ; OOBG

OC * AO ; OOCO

OC * AA ; OOCC

OC * AB ; OOCS

OC * AC ; OOCN

OC * AD ; OODB

OC * AE ; OODE

OC * AS ; OODH

OC * AG ; OOEA

OC * AH ; OOED

OC * AN ; OOEG

OC * BO ; OOSO

OC * BA ; OOSC

OC * BB ; OOSS

OC * BC ; OOSN

OC * BD ; OOGB

OC * BE ; OOGE

OC * BS ; OOGH

OC * BG ; OOHA

OC * BH ; OOHD

OC * BN ; OOHG

OC * CO ; OONO

OC * CA ; OONC

OC * CB ; OONS

OC * CC ; OONN

OC * CD ; OAOB

OC * CE ; OAOE

OC * CS ; OAOH

OC * CG ; OAAA

OC * CH ; OAAD

OC * CN ; OAAG

OC * DO ; OABO

OC * DA ; OABC

OC * DB ; OABS

OC * DC ; OABN

OC * DD ; OACB

OC * DE ; OACE

OC * DS ; OACH

OC * DG ; OADA

OC * DH ; OADD

OC * DN ; OADG

OC * EO ; OAEO

OC * EA ; OAEC

OC * EB ; OAES

OC * EC ; OAEN

OC * ED ; OASB

OC * EE ; OASE

OC * ES ; OASH

OC * EG ; OAGA

OC * EH ; OAGD

OC * EN ; OAGG

OC * SO ; OAHO

OC * SA ; OAHC

OC * SB ; OAHS

OC * SC ; OAHN

OC * SD ; OANB

OC * SE ; OANE

OC * SS ; OANH

OC * SG ; OBOA

OC * SH ; OBOD

OC * SN ; OBOG

OC * GO ; OBAO

OC * GA ; OBAC

OC * GB ; OBAS

OC * GC ; OBAN

OC * GD ; OBBB

OC * GE ; OBBE

OC * GS ; OBBH

OC * GG ; OBCA

OC * GH ; OBCD

OC * GN ; OBCG

OC * HO ; OBDO

OC * HA ; OBDC

OC * HB ; OBDS

OC * HC ; OBDN

OC * HD ; OBEB

OC * HE ; OBEE

OC * HS ; OBEH

OC * HG ; OBSA

OC * HH ; OBSD

OC * HN ; OBSG

OC * NO ; OBGO

OC * NA ; OBGC

OC * NB ; OBGS

OC * NC ; OBGN

OC * ND ; OBHB

OC * NE ; OBHE

OC * NS ; OBHH

OC * NG ; OBNA

OC * NH ; OBND

OD * OA ; OOOD

OD * OB ; OOOH

OD * OC ; OOAB

OD * OD ; OOAS

OD * OE ; OOBO

OD * OS ; OOBD

OD * OG ; OOBH

OD * OH ; OOCB

OD * ON ; OOCS

OD * AO ; OODO

OD * AA ; OODD

OD * AB ; OODH

OD * AC ; OOEB

OD * AD ; OOES

OD * AE ; OOSO

OD * AS ; OOSD

OD * AG ; OOSH

OD * AH ; OOGB

OD * AN ; OOGS

OD * BO ; OOHO

OD * BA ; OOHD

OD * BB ; OOHH

OD * BC ; OONB

OD * BD ; OONS

OD * BE ; OAOO

OD * BS ; OAOD

OD * BG ; OAOH

